,reviews,star
0,mantab gambarnya...ciamik fiturnya...jooss,5
1,Pasangnya mudah. pengirimannya aman. respon admin ok. barangnya ok tidak ada cacat.,5
2,barang original,5
3,"brg diterima dgn baik, smoga awet",5
4,"tv berkerja dengan baik, produk bagus dan berkualitas, hebat",5
5,"barang bagus harga bersaing, cepat responnya",5
6,"Barang original, jadi dapat garansi juga. Pasangnya gampang dan semua berfungsi dengan baik. Mantap!",5
7,"tv nya bagus, terimakasih",5
8,Bagus,5
9,"proses agak lama, mgk krn lg promo jd overload, tp pengiriman cepat, tangerang ke tapos cuma sehari dan gratis ongkir. barang mulus, gambar cakeo, smg awet, terima kasih... ",5
10,Alhamdulillah barang sampai. tapi kurir sangat sangat payah. harus ambil sendiri. kalau bisa jne di blacklist saja. karena 4 hari di gudang ga dikirim kirim,5
11,"Mantapppp, Proses Cepat, Pengiriman Cepat...",5
12,"seller cepat tanggap, barangnya ok punya, pengiriman dan kurirnya cepat n ramah, tqs toped senang belanja disini",5
13,"pengiriman cepat. kardus tv dibungkus dgn bubble wrapped, aman.  Kualitas gambar dan suara mantap.",5
14,"Barang ok, pengiriman dan packing perlu diperbaiki..packing kayu berantakan sampai ditujukan.. kedepannya diperbaiki packing kayunya..",5
15,mantap bos quuuuuu bagus,5
16,TV kualitasnya bagus dan admin cukup komunikatif. pengiriman sempat bermasalah karena nyangkut di gudang tokped/kurir sicepat (padahal sudah pakai ongkir termahal yg kuri... ,5
17,Diterima dengan baik. Kualitas sesuai harga.,5
18,"Pesan Senin pagi, Selasa siang sudah datang. Pengiriman rapi pakai bubble pack.Semoga tidak ada masalah",5
19,tv sampai dengan selamat walaupun tidak ada bubble wraping.. walaupun sudah pakai kayu seharusnya ada bubble wraping agar tv lebih aman lagi,5
20,"barang bagus, pengiriman cpt",5
21,"awalnya bingung set salurannya, taunya mudah dan mantapp. Pengiriman cepatt",5
22,"kelamaan di gudang JNE, ambil sendiri di gudang",5
23,"bagus, sayang tanpa bracket",5
24,"Kualitas Mantap, Barang Original, Pengiriman Cepat!",5
25,"sejauh ini baguss mudah-mudahan tidak ada kendala mulus teruss, pengiriman cepat, hanya karna terpotong weekend saja terimkasih",5
26,"Packingnya Aman Banget, Cepet Sampe Juga, Mantappp Pokoknya…",5
27,Mantap,5
28,sip mantap,5
29,"mantab! android tv smooth, display terang & tajam, sound biasa aja, tapi ga masalah karena ada jack aux, bisa ketolong kalo pasang speaker external. moga2 awet!",5
30,"Mantapp
Jernih layarnya",5
